NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
14126,가공식품,스위티,스낵과자,30.0,47.07,0.44,2.47,5.47
14127,가공식품,스윙칩 볶음고추장맛,스낵과자,30.0,50.4,0.45,3.06,5.04
14128,가공식품,썬칩 바비큐,스낵과자,30.0,45,0.45,1.98,6.48
14129,가공식품,썬칩 와일드랜치맛,스낵과자,30.0,45,0.72,1.98,6.03
14130,가공식품,썬칩 핫윙,스낵과자,30.0,45,0.72,1.98,6.03
14131,가공식품,썬헌터 누룽지맛,스낵과자,30.0,44.1,0.9,1.89,5.85
14132,가공식품,쓰리디 페페로치노맛,스낵과자,30.0,40.05,0.54,1.53,5.94
14133,가공식품,아몬드볼,초콜릿가공품,30.0,50.13,0.71,3.25,3.86
14134,가공식품,아몬드 빼빼로,초콜릿가공품,30.0,46.89,0.86,2.83,4.1
14135,가공식품,야금야금,스낵과자,30.0,42.57,1.03,1.31,6.66
14136,가공식품,야채타임,스낵과자,30.0,39.06,0.39,2.22,4.11
14137,가공식품,양송이버섯 스낵,스낵과자,30.0,40.23,1.35,1.43,5.49
14138,가공식품,엑서스 고소한맛,스낵과자,30.0,45.9,0.63,2.07,5.85
14139,가공식품,엑서스 나초맛,스낵과자,30.0,45.9,0.81,2.16,0.54
14140,가공식품,엑서스 핫소스맛,스낵과자,30.0,45.9,0.63,2.07,5.85
14141,가공식품,엘리스,초콜릿,30.0,50.31,1.08,3.25,4.05
14142,가공식품,오감자 슈림프그라땅맛,스낵과자,30.0,45,0.36,2.16,6.03
14143,가공식품,오감자 텍사스BBQ맛,스낵과자,30.0,45,0.36,2.16,6.03
14144,가공식품,오징어땅콩,스낵과자,30.0,42.75,0.9,1.8,5.67
14145,가공식품,올리고 고구마깡,스낵과자,30.0,44.37,0.53,2.03,5.69
14146,가공식품,쟈키자키,스낵과자,30.0,45,0.44,2.57,4.69
14147,가공식품,초코송이,초콜릿가공품,30.0,46.35,0.72,2.16,5.94
14148,가공식품,초코초바,스낵과자,30.0,47.25,0.54,2.52,5.76
14149,가공식품,쵸이스,쿠키,30.0,43.47,0.58,1.79,6.25
14150,가공식품,치토스 매콤,스낵과자,30.0,50.4,0.45,3.06,5.31
14151,가공식품,치토스 바비큐,스낵과자,30.0,49.5,0.45,2.88,5.4
14152,가공식품,치토스 화이트,스낵과자,30.0,49.95,0.54,2.97,5.4
14153,가공식품,치토스 화이트 구운옥수수맛,스낵과자,30.0,45.45,0.54,2.16,6.03
14154,가공식품,칵테일 스낵,스낵과자,30.0,38.79,1.37,1.89,4.28
14155,가공식품,칼슘 양파링,스낵과자,30.0,44.37,0.46,2.03,5.83
14156,가공식품,콘돌,스낵과자,30.0,39.33,0.86,0.67,7.48
14157,가공식품,콘드로이친 감자깡,스낵과자,30.0,43.83,0.56,1.96,5.86
14158,가공식품,콘칩,스낵과자,30.0,45.36,0.54,2.01,6.34
14159,가공식품,콘칩 매운맛,스낵과자,30.0,44.19,0.51,1.84,6.34
14160,가공식품,키토산 자갈치,스낵과자,30.0,45.54,0.53,2.21,5.76
14161,가공식품,토피,스낵과자,30.0,37.08,0.31,0.22,8.48
14162,가공식품,토픽,초콜릿가공품,30.0,44.91,0.54,2.42,5.01
14163,가공식품,포비,비스킷,30.0,42.21,0.53,1.58,6.46
14164,가공식품,포카칩 소금맛,스낵과자,30.0,52.2,0.54,3.15,4.95
14165,가공식품,포카칩 양파맛,스낵과자,30.0,50.4,0.54,3.06,5.04
14166,가공식품,포카포카,초콜릿가공품,30.0,46.35,0.63,2.25,5.94
